place_id,csv_no,name,status,address,sido,sggu,dong,region,chain_group,kakaotalk,navertalk,navershortlink,line,whatsapp,wechat,telegram,instagram,naverblog,navercafe,youtube,facebook,naverbooking,phone,doctor_count,doctor_names,doctor_details,has_credentials,website,cms,crawled_at
1001029081,3011,썸의원,pending,서울특별시 강남구 도산대로 122 에메랄드타워 3층,서울,강남구,논현동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,http://someclinic.com/,,
1001599803,368,레지움피부과의원,pending,서울특별시 강남구 도산대로 107 10층,서울,강남구,신사동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,http://lasium.co.kr/,,
1001845876,2788,더힐피부과의원 동대문,pending,서울특별시 동대문구 왕산로36길 6 힐스테이트 청량리 더퍼스트 101동 2층,서울,동대문구,전농동,서울/동대문구,,,,,,,,,,,,,,,,0,,,N,https://thehealddm.com,,
1002324944,2313,연세늘봄피부과의원,pending,서울특별시 도봉구 도봉로 669 이정빌딩 3층,서울,도봉구,방학동,서울/도봉구,,,,,,,,,,,,,,,,0,,,N,http://연세늘봄피부과.kr/,,
1003602897,179,이지동안의원 강남본점,pending,서울특별시 강남구 압구정로 168 2층,서울,강남구,신사동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,http://egsns.com,,
1004046213,659,아이필유의원 강남,pending,서울특별시 서초구 강남대로 437 대원빌딩 8층,서울,서초구,서초동,서울/서초구,,,,,,,,,,,,,,,,0,,,N,http://ifeelu.kr/,,
1005464305,1535,블레싱피부과의원,pending,서울특별시 서초구 반포대로 291 원베일리스퀘어 5층 507~510호,서울,서초구,반포동,서울/서초구,,,,,,,,,,,,,,,,0,,,N,http://blessingskin.co.kr/,,
1005542042,182,청담란셀의원,pending,서울특별시 강남구 봉은사로 325 LIME TOWER 2층,서울,강남구,논현동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,https://rancellclinic.com,,
1005550303,1871,톡스앤필의원 제주점,pending,제주특별자치도 제주시 노형로 378 청담빌딩 201호,제주,제주시,노형동,제주특별자치도/제주시,,,,,,,,,,,,,,,,0,,,N,http://www.toxnfill46.com/,,
1007557244,89,뉴브의원,pending,서울특별시 강남구 강남대로 548 건우빌딩 4층,서울,강남구,논현동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,https://www.newve-skinclinic.co.kr/,,
1007704983,2973,성수멜팅의원,pending,서울특별시 성동구 아차산로 113 삼진빌딩 4층,서울,성동구,성수동,서울/성동구,,,,,,,,,,,,,,,,0,,,N,https://www.meltingclinic.com/,,
1008293476,3217,청담비엘의원,pending,서울특별시 동대문구 답십리로 273 한양빌딩 3층,서울,동대문구,장안동,서울/동대문구,,,,,,,,,,,,,,,,0,,,N,http://blclinic.co.kr/,,
1009594092,3112,온리원의원,pending,서울특별시 강남구 선릉로86길 30 SH빌딩 3층,서울,강남구,대치동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,http://www.onlyoneclinic.co.kr/,,
1010088931,687,잠실 애슬리의원,pending,서울특별시 송파구 오금로 81 송파빌딩 15층 애슬리클리닉,서울,송파구,방이동,서울/송파구,,,,,,,,,,,,,,,,0,,,N,https://athleyclinic.com,,
1010194030,3209,청담노엘의원,pending,서울특별시 강남구 압구정로 449 2층 청담노엘의원,서울,강남구,청담동,서울/강남구,,,,,,,,,,,,,,,,0,,,N,https://noelclinic.com/,,
1010494019,2683,강남아이디의원,pending,서울특별시 서초구 강남대로 437 11층,서울,서초구,서초동,서울/서초구,,,,,,,,,,,,,,,,0,,,N,https://gn.idclinic.co.kr/,,
1010574050,2745,다태나의원,pending,서울특별시 송파구 올림픽로 108 맥스빌딩 3층,서울,송파구,잠실동,서울/송파구,,,,,,,,,,,,,,,,0,,,N,http://datena.kr/,,
1010664652,2123,광화문헤리티크피부과의원,pending,서울특별시 종로구 새문안로 91 광화문 고려빌딩 2층,서울,종로구,,서울/종로구,,,,,,,,,,,,,,,,0,,,N,https://htqskin.com/,,
1011119306,288,가산연합의원,pending,서울특별시 금천구 가산디지털1로 186 4층 403호,서울,금천구,가산동,서울/금천구,,,,,,,,,,,,,,,,0,,,N,http://www.gasanclinic.com/,,
1012049116,2789,데이뷰의원 건대입구역,pending,서울특별시 광진구 동일로20길 106 로데오프라자 1층,서울,광진구,자양동,서울/광진구,,,,,,,,,,,,,,,,0,,,N,https://daybeauclinic04.com/branch/,,
