csv_no,place_id,naver_name,homepage_url
1,20951918,고은미인의원,http://www.goeunmiin.co.kr/
2,1721660349,마이닥터의원,http://www.mydrclinic.co.kr/
3,30824343,미소앤유의원,http://misoau.ad-media.kr/main
4,12764443,톡스앤필의원 관악서울대입구점,http://www.toxnfill10.com/
5,1099077098,닥터에버스의원 서울대입구점,http://www.evers3.co.kr/
6,1691462395,서울대입구예쁨주의쁨의원,http://www.ppeum25.com
8,32407189,라르떼의원 서울대입구점,http://larte.kr/seouluni/
9,1061940339,세이렌의원,http://www.seirenclinic.co.kr/
10,1298728582,미앤미의원 서울대입구역,http://su.branch.mimimi.co.kr/
11,1139033760,리부팅의원,https://rebootingclinic.co.kr/
12,2013481920,르비브의원,https://reviv.kr/
13,21301602,참맑은의원,http://www.charmclinic.kr/
14,13050711,진앤미의원,http://www.jnmskin.co.kr
15,13478433,라마르의원 이수역,http://www.isu-lamarskin.com/
16,1542495109,바로그의원 강남,https://barogclinic.com/branch/br12/subindex.php
17,1190471014,연세모나의원,http://www.monahair.co.kr
18,13569648,고운미의원,http://www.gounmiclinic.co.kr/
19,13149725,뉴케이의원,https://www.newkclinic.com/
20,1378843858,뷰티라운지의원 강남점,http://www.beautyloungeclinic.co.kr
21,1307870014,민앤민의원 강남점,https://drminskin.com/
22,1091004448,제이필의원 강남점,https://jfeelclinic.com/
23,1752902306,강남라렌의원,http://gwangmyeong.lareinegroup.co.kr/
24,1761787667,오롯의원,https://www.orotclinic.kr
25,1140081354,모리스의원,https://molessclinic.com/
26,12753967,삼성필의원,https://feel-clinic.co.kr/
27,1270615744,콜나움의원 강남,http://collnaum.co.kr/
28,13114570,루미에의원,http://www.lumieskin.co.kr
29,32435710,뮤즈의원 강남점 본관,https://gangnam.museclinic.co.kr/
30,11716679,프라임의원,http://primeskin.co.kr/
31,1878051676,리본의원,http://reborncorea.com/
32,13222753,연세조이의원 동작점,http://www.joyclinic.co.kr/
33,37774557,자연예쁨의원,http://nb-skin.com/
34,1499364517,디오레의원,https://dioreclinic.com/
35,37361917,오앤의원,https://on-clinic.co.kr/
36,1579955969,봄빛의원,https://www.bomvitclinic.com
37,33418580,설레임의원 강남,https://gangnamskin.co.kr/
38,31905981,하얀의원,http://boramaewhiteskin.com/
39,13344099,아이유의원,http://www.i-you.co.kr/
40,1867116380,닥터에버스의원 강남,https://evers19.co.kr/
41,1420242508,모던스탠다드의원,https://modern-standard.co.kr
42,33696021,강남연세라인의원,http://www.ylclinic.com/
43,2041892080,페슈의원,https://www.pecheskin.clinic/
44,1057583989,헤이데이의원 강남,https://heydayclinic.com/
45,1380019560,유앤아이의원 강남점,https://www.uni114.co.kr/
46,563223381,예쁨주의쁨의원 강남본점,https://sinnonhyeon.ppeum.com/about
47,1049028935,디에이치페이스업의원,https://faceup1.com
48,1805592301,피엘의원 용산,http://pielclinic.co.kr/
50,11875386,다미의원,http://www.damiskin.com/
51,1917789001,밴스의원 여의도,https://yeouido.vandsclinic.co.kr/
53,12945275,블루릿지의원,http://www.blueclinic.co.kr/
54,1649148555,큐티스의원,http://qtis.co.kr
55,1844309595,노벨의원,http://novelclinic1.com/
56,12914141,아이파크몰의원,http://www.iparkmallclinic.com/
57,1399144077,뷰티라운지의원 용산점,http://yongsan.beautyloungeclinic.com
58,2091952015,블리비의원 용산점,https://www.velyb.kr
59,1779471465,리엔뉴의원,http://www.rennew.co.kr
60,1357484247,블리비의원 구로점,http://www.velyb.kr/
61,2039367298,유앤아이의원 여의도점,https://www.yuduni114.co.kr/
62,32358887,아비쥬의원 구로,http://www.abijouclinicgr.com
63,1823850490,밴스의원 구로,https://guro.vandsclinic.co.kr/
64,1438120276,서울스타의원,http://seoulstarclinic.com/
81,1062568497,맥스웰의원 여의도점,https://yeouido.maxwellhair.com/
82,1881248227,타임리턴의원,http://timereturnclinic.com
84,697516747,강남메이퓨어의원,https://www.maypureclinic.com/gangnam
118,1127071234,닥터에버스의원 구로,https://evers22.co.kr/event20041
120,12899811,이화미의원,http://www.ewhabeauty.com/
121,1467427413,여의도더원의원,https://meast.theone114dyd.co.kr/index.php
122,1559244370,데이뷰의원 여의도,https://daybeauclinic08.com
123,1956327823,유앤아이의원 구로점,https://www.gruni114.co.kr/
146,1303487840,이유의원,https://litt.ly/reyouclinic
155,1106660845,제니의원 압구정역,http://jennyclinic.co.kr/
171,21414720,포헤어의원 서울점,https://www.forhair.co.kr
173,19777586,네오의원,http://www.neoclinic.kr/
184,1106214035,메이린의원 더현대서울,http://www.maylin.co.kr/thehyundai/
186,1193623746,디샤인의원,http://deshignclinic1.com/
191,1198402924,예스미의원,http://www.yesmeskin.com
209,37791171,라르떼의원 선릉점,http://larte.kr/
215,35228564,닥터디자이너의원 영등포,https://ydp.drdclinic.co.kr/s/zczh0
225,35849090,청담바롬의원,http://www.varom.kr/
233,13201099,미소미의원,http://www.misomeclinic.co.kr/
234,1410747876,엘리엇의원,http://www.elliotclinic.com/
235,38233475,메이퓨어의원 영등포점,https://www.maypureclinic.com/ko/
236,1315429869,데이뷰의원 영등포,https://daybeauclinic09.com/branch/
237,1563457239,영등포밴스의원,https://yeongdeungpo.vandsclinic.co.kr/
238,1344800595,유앤아이의원 영등포,https://www.ydpuni114.co.kr/
239,1338710579,닥터올린의원,https://drallinclinic.com/
243,1301333762,연세리엘의원,http://leighelclinic.co.kr/
248,1144723166,블리비의원 영등포점,http://www.velyb.kr/
249,1361507061,더원의원 서여의도점,https://mwest.theone114dyd.co.kr/index.php
253,1114870055,이승우의원,http://lswclinic.co.kr/
254,13435285,라마르의원 영등포,http://www.young-lamar.co.kr/
259,1774854927,사려니의원,https://saryeoni-clinic.com/
260,1418500637,미엘르인청담의원,http://www.mielleclinic.co.kr
268,19809910,미소지인의원,https://misoziin.co.kr/
270,1438456643,멘드의원,http://www.mendclinic.kr/
271,2027361278,메이퓨어의원 가산디지털점,https://www.maypureclinic.com/
272,13412468,라엘르의원,https://www.la-aille.com/
273,1344061520,아란의원,https://simte.xyz/아란의원이벤트
275,1844366062,포인트의원,http://www.pointclinic.co.kr
276,1315927961,호안의원,https://hoan.clinic/
280,37202629,호수의원,http://www.hosooclinic.com/
288,1011119306,가산연합의원,http://www.gasanclinic.com/
302,1636688482,김송이의원,https://www.ksy-clinic.co.kr/
312,1994928042,닥터선의원,http://drsunclinic.co.kr/
319,13588940,더맑은의원,http://www.theclearskin.co.kr/
328,1507224889,리앤유의원,https://www.renyou.co.kr
338,1773897155,닥터알의원,http://drrclinic.com/
341,2018950421,닥터디자이너의원 청담점,https://cheongdam.drdclinic.co.kr/
342,1619071850,청담아르티의원,https://silhouetteskin.com
351,1782553828,닥터오의원,https://www.dr-oclinic.com
352,1264306473,더블유의원,http://www.wclinics.co.kr
353,1683078159,티원의원 강남,https://t1clinic.com/
359,697516747,메이퓨어의원 수서점,https://www.maypureclinic.com/ko/
360,31051491,노바에스피부과의원,http://www.novasclinic.co.kr/
364,19737611,마이디피부과의원,http://www.mydskin.co.kr/
367,1842533876,초이스피부과의원 신사,https://skinchois.net/sinsa
376,2068820493,밀락씨의원,https://milaccclinic.com
379,32472870,수피부과의원,http://www.sooskin.co.kr
381,33156010,노블클래식의원 당산,http://nobleds.com
403,38507408,벧엘피부과의원,http://www.bethelskin.com/
410,11874484,CNP차앤박피부과의원 압구정점,https://www.cnpskin.com/pc/branch/main/main.html?jijummid=cnpskin04
419,2038808892,톤즈의원 광명점,https://www.tonesclinic.co.kr/gwangmyeong?lang=ko
434,697516747,메이퓨어의원 광명철산점,https://www.maypureclinic.com/ko/
450,1507212667,블리비의원 광명점,https://www.velyb.kr
462,2050044708,밴스의원 신촌역,https://sinchon.vandsclinic.co.kr/
474,1654543696,리피부과의원,http://www.leederma.com/
475,21111870,이에스의원,http://www.esbeauty.kr
481,1834797956,리더스피부과의원 청담명품거리점,https://leaders-mg.com/
487,1773991574,이상피부과의원 개포점,http://www.idealskin.co.kr
490,12929780,예사랑피부과의원,http://yeskinclinic.co.kr
493,1774304623,뷰티스톤의원 이수역,http://www.beautystoneisu.com
494,1898654892,에센셜의원,https://www.essentialclinic.co.kr/
495,1845467597,뷰티크의원 방배이수,https://beautyqueclinic1.com/?utm_source=naver&utm_medium=referral&utm_campaign=PL_BB
496,11492354,연세탑뷰티의원,http://www.sbclinic.kr/
497,13330174,피어봄의원 이수역,http://sc.pieobom.com/
498,2043330782,라셀의원,http://lacellclinic.com
499,12055664,비앤유의원,http://www.bnuclinic.com/
500,13336152,미앤아이의원 방배점,http://www.bb-meiclinic.co.kr/
501,2022751437,아너스킨의원,https://honorskinclinic.com
502,1292202722,르에이치의원,http://www.lehclinic.co.kr
503,2083451302,에이앤드의원,https://aandclinic.com
504,72491240,닥터방의원,http://doctorbang.co.kr/main/ko/index.html
506,34079081,웰스킨의원,http://www.wellskinclinic.net/
507,1324821191,새론바디의원,http://saeronbody-clinic.com/
508,13116471,리필업의원,http://www.refeelup.com/
509,1414349343,서울크리스탈의원,http://crystalskin.co.kr
510,1257565361,메이린의원 반포,https://maylin.co.kr/banpo/
511,13438381,메디라인의원,http://emediline.co.kr/
512,1648521473,르웰의원,https://lewellclinic.com/
513,12048455,민에스의원,http://www.min-s-clinic.com/
514,1370371904,연세청아린의원,https://www.calclinic.co.kr/
515,1109875748,블리스의원 반포,https://www.fybliss-clinic.com
516,1084261604,더웰니스의원,https://thewellnessclinic.co.kr/
517,2065176795,엘로페의원,https://elrophe.com
518,1995593727,닥터은빛의원,https://www.dreunvit.com
519,1166403466,오르타의원,https://www.ortaclinic.com/ko
520,1483028719,에르네의원,http://www.herneclinic.com
521,1257705699,블리비의원 목동점,http://www.velyb.kr
522,1096944354,강남엔비의원,http://www.envyclinic.co.kr
523,2061829640,더나의원,https://dernaclinic.com
524,1780329570,미의원 강남본점,https://mecl2.com/
525,1304716209,벨뷰의원,http://bellebeau.co.kr/
526,1085047679,아비쥬의원 강남역본관,http://www.abijouclinickn.com
527,1232665831,케이셀의원,http://kcellclinic.co.kr/
529,1329443938,세예의원,https://seyeclinic.com/ko
530,1879958636,강남비비의원,https://viiviiclinic.com
531,2068846141,디아르의원,https://www.diarclinic.com
534,1053189747,메이슨의원,https://masonclinic.kr/
535,1802597518,플래뉴의원,https://www.planewclinic.com/
536,1297476483,메이필의원,http://www.meifill.co.kr
537,1086421561,블리비의원 강남역점,http://www.velyb.kr
538,20697841,미엘르의원 강남점,http://www.mielleclinic.com/
539,1675296118,닥터제이앤비의원,http://www.drjnb.com
540,1210996160,아르필의원,http://arfill.com
541,12058214,샤인의원,http://mdshineclinic.co.kr/
542,1825757209,메이퓨어의원 목동점,https://www.maypureclinic.com/ko/
543,1080485971,뷰티라운지의원 목동점,http://mokdong.beautyloungeclinic.co.kr/
544,1166575040,올림 피움 채움 올피채의원 강남점,https://gn.ollpichae.com/
545,1191445503,베러미의원 강남,https://gangnam.bettermeclinic.co.kr/
546,1600894659,유픽의원 강남,https://gn.upicclinic.com/Board/event
547,2063637651,톤즈의원 강남역,https://www.tonesclinic.co.kr/gangnam?lang=ko
548,12015913,맑고고운라벨라의원,http://labellaclinic.com/
549,1416915961,강남 밴스의원,https://gangnam.vandsclinic.co.kr/
550,1729475514,다이아의원,http://www.diaclinic.co.kr
551,2055484700,벨리셀의원,https://gangnam.vellicellclinic.com/
552,31535921,뷰다임의원,http://www.beaudigm.co.kr/
553,2070871050,강남다움의원,http://gd-clinic.com/
554,1186332827,더왈츠의원,https://thewalts.co.kr/
555,20766802,리버스의원 강남역,http://www.reverseclinic.com/
556,35727092,리앤영의원 강남역,https://www.reandyoungclinic.co.kr
557,31068065,유앤미의원 강남본점,https://www.knyounmeclinic.co.kr/
558,21587581,톡스앤필의원 강남,http://www.toxnfill1.com/eventServiceInfo.php?c=2833
559,2140757216,너와의원,https://nuwaclinic.com
560,37917826,세븐레마의원,https://sites.google.com/view/7rema
563,1963556498,퀸즈의원,https://queensclinic.medisay.co.kr/
564,33461172,나세르의원,http://petitnacer.com
565,1231552557,맑고고운의원,http://purebeautyclinic.co.kr
567,1671998280,유앤아이의원 목동점,https://www.mokuni114.co.kr/
568,1139809541,뽀송의원 강남,https://pposong.clinic
569,31311504,아우름의원,http://www.aurumclinic.co.kr/
570,1536405320,메이비의원,http://maybeclinic.co.kr/
571,12008415,미앤미의원 강남,http://gn.branch.mimimi.co.kr/event/event_list.php
573,33509701,시안의원,http://www.cyanclinic.com/
575,1507212667,블리비의원 안양점,http://www.velyb.kr/
581,1644722101,안양 톤즈의원,http://tonesclinic.co.kr/anyang
583,32055259,베르니포레의원,http://www.verniclinic.co.kr/
587,1020864025,테라스의원,https://terraceclinic.com
